vn,en
Chúc Mừng Năm Mới,Happy New Year
Cung Chúc Tân Xuân,gracious wishes of the new spring
Sống lâu trăm tuổi,long life of 100 years (used by children for elders)
An khang thịnh vượng,"security, good health, and prosperity"
Vạn sự như ý,may myriad things go according to your will
Sức khỏe dồi dào,Plenty of health
Tiền vô như nước,may money flow in like water
Cung hỉ phát tài,Congratulations and be prosperous
Năm mới thắng lợi mới,"New year, new triumphs"
Chúc hay ăn chóng lớn,"Eat more, grow rapidly (for children)"
Năm mới thăng quan tiến chức,I wish that you will get promoted in the new year
Năm mới toàn gia bình an,I wish that the new year will bring health to all your family
